epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.921,1.165,2.46368,1.4469,0.00336,0.86212,0.61953,0.40559,1.06393,3.65119,1.63284,0.0003334,0.0003334,0.0003334
2,524.798,1.14942,1.80538,1.44513,0.80935,0.09091,0.39968,0.18373,1.55548,3.79994,2.1465,0.000649638,0.000649638,0.000649638
3,784.334,1.21579,1.57331,1.4424,0.57359,0.51843,0.5297,0.28005,1.55536,3.36099,2.24633,0.00093122,0.00093122,0.00093122
4,1092.45,1.22375,1.55515,1.45228,0.3666,0.70466,0.37625,0.16126,1.80684,14.2167,2.76727,0.00117814,0.00117814,0.00117814
5,1335.24,1.24781,1.48599,1.42885,0.51364,0.57974,0.553,0.20533,1.981,5.90011,3.30569,0.00133693,0.00133693,0.00133693
6,1538.18,1.2801,1.44506,1.46338,0.6367,0.47955,0.61189,0.31492,1.54573,2.90787,2.1243,0.00125442,0.00125442,0.00125442
7,1796.74,1.15028,1.23134,1.36032,0.79512,0.66049,0.76806,0.47611,1.35141,2.26712,1.77213,0.0011719,0.0011719,0.0011719
8,2206.28,1.16103,1.15482,1.38713,0.84889,0.68164,0.82168,0.54519,1.22625,1.93394,1.60003,0.00108938,0.00108938,0.00108938
9,2469.19,1.24554,1.23658,1.46424,0.87786,0.87652,0.93271,0.63994,1.16413,1.47992,1.70151,0.00100687,0.00100687,0.00100687
10,2740.2,1.12681,1.09534,1.37662,0.90598,0.94393,0.97055,0.69046,1.09465,1.33289,1.56678,0.000924352,0.000924352,0.000924352
11,3040.67,1.06702,1.31058,1.48818,0.95617,0.94779,0.98553,0.71345,1.0481,1.35606,1.48942,0.000841835,0.000841835,0.000841835
12,3371.77,1.02778,1.10878,1.44785,0.96721,0.94476,0.97335,0.70576,1.06883,1.27829,1.46227,0.000759318,0.000759318,0.000759318
13,3566.75,0.95936,0.99588,1.35568,0.96782,0.96005,0.9747,0.7133,0.98284,1.09441,1.41072,0.000676802,0.000676802,0.000676802
14,3735.95,0.93593,0.91026,1.35321,0.92431,0.84444,0.94324,0.67874,1.06805,1.24758,1.49097,0.000594286,0.000594286,0.000594286
15,3881.67,0.9546,0.88536,1.37797,0.9461,0.98611,0.98989,0.70747,1.05047,0.94663,1.40835,0.000511769,0.000511769,0.000511769
16,4688.47,0.89143,0.81638,1.29105,0.99506,0.95884,0.99031,0.75575,0.91192,0.86179,1.34203,0.000429253,0.000429253,0.000429253
17,4847.33,0.85195,0.77138,1.30697,0.98152,0.95884,0.99124,0.73612,0.93757,0.86777,1.34594,0.000346736,0.000346736,0.000346736
18,5006.36,0.84914,0.75395,1.28397,0.98227,0.99352,0.99446,0.74179,0.93852,0.81196,1.34479,0.00026422,0.00026422,0.00026422
19,5184.19,0.85034,0.73077,1.30763,0.98242,0.99787,0.99412,0.75851,0.92266,0.75872,1.31918,0.000181703,0.000181703,0.000181703
20,5357.54,0.80673,0.7088,1.25412,0.98952,0.98564,0.99438,0.76387,0.89948,0.74155,1.29989,9.91865e-05,9.91865e-05,9.91865e-05
